"item_code","item","unit","item_group","item_category","item_subcategory"
1300,"MURTABAK DAGING","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","MURTABAK"
1301,"MURTABAK KAMBING","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","MURTABAK"
1307,"AIR SUAM","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","AIR KOSONG"
1309,"Kopi Panas","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","KOPI"
1311,"TEH 'O' LIMAU PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","TEH"
1312,"Teh Panas","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","TEH"
1314,"TEH HALIA PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","TEH"
1315,"NESCAFE PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1317,"NESLO PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1318,"HORLICKS PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","HORLICKS"
1319,"MILO PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","MILO"
1320,"BARLI PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","BARLI"
1321,"MILO 'O' PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","MILO"
1322,"AIR KOSONG","gelas besar","MAKANAN SIAP MASAK","MINUMAN","AIR KOSONG"
1339,"JUS EPAL","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1340,"JUS MANGGA","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1341,"JUS TEMBIKAI","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1343,"JUS BELIMBING","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1344,"JUS LAICI","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1355,"100 PLUS (ORIGINAL)","1.5 liter","MINUMAN","TERSEDIA MINUM","AIR BERKARBONAT"
1358,"ROTI SARDIN","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1359,"KOPI 'O' PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","KOPI"
1360,"TEH 'O' PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","TEH"
1364,"AYAM TUA HIDUP","1kg","BARANGAN SEGAR","AYAM","AYAM HIDUP"
1367,"DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1368,"DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1369,"DAGING KAMBING TEMPATAN BERTULANG","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1370,"DAGING LEMBU IMPORT (TOPSIDE)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1371,"DAGING LEMBU IMPORT (BLADE)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1372,"DAGING LEMBU IMPORT (CHUCKTENDER)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1373,"DAGING LEMBU IMPORT (KNUCKLE)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1374,"DAGING KERBAU TEMPATAN","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1375,"DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1376,"DAGING KERBAU IMPORT (INDIA) * (RUMP)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1377,"DAGING KERBAU IMPORT (INDIA) * (BLADE)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1378,"DAGING KERBAU IMPORT (INDIA) * (CHUCK)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1379,"DAGING BABI (PERUT / BELLY)","1kg","BARANGAN SEGAR","DAGING","DAGING BABI"
1380,"DAGING BABI (DAGING & LEMAK / LEAN & FAT)","1kg","BARANGAN SEGAR","DAGING","DAGING BABI"
1381,"DAGING BABI (ISI DAGING / PURE LEAN)","1kg","BARANGAN SEGAR","DAGING","DAGING BABI"
1383,"DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT)","1kg","BARANGAN SEGAR","DAGING","DAGING BABI"
1384,"BABI HIDUP (Â±100KG / SEEKOR)","Â±100kg/seekor","BARANGAN SEGAR","DAGING","DAGING BABI"
1391,"UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","UDANG"
